,sitename,lat,long,H_in_situ,H_h_9,H_v_9,H_temp9,H_dca9,H_hv_9,I_crn_dca9,I_dca_temp9,I_hv_crn9,I_hv_dca_9,I_hv_temp_crn9,I_hv_temp_dca9,I_hvSM_given_Temp9,I_hvdca_given_Temp9,I_dca_givenhv9,U_h_9,U_v_9,S_9,R_9,Pear_R9,RMSE_9,vwc9km,H_h_36,H_v_36,H_temp36,H_dca36,H_hv_36,I_crn_dca36,I_dca_temp36,I_hv_crn36,I_hv_dca_36,I_hv_temp_crn36,I_hv_temp_dca36,I_hvSM_given_Temp36,I_hvdca_given_Temp36,I_dca_givenhv36,U_h_36,U_v_36,S_36,R_36,Pear_R36,RMSE_36,vwc36km,landcover,len
0,UT_Brigham_City_28_WNW,41.62,-112.54,0.3212497948670559,0.3555299082555004,0.35297595438793233,0.38722093480522546,0.3882705981613201,0.47279919624918826,0.07961864238523841,0.049399497118463365,0.1107468282487436,0.1276135093219386,0.17648135886222427,0.25401088111964376,0.11544751014891308,0.2046113840011804,0.1263973717977051,0.005376873369615134,0.005171348850851368,0.010394208230048205,0.1066710788714239,0.72927454772579,0.10776440802111358,0.32452522609298584,0.34598309723455173,0.36454024231941623,0.38793848927082025,0.36201211229552804,0.4823588675286124,0.06506281241275536,0.04767607385003603,0.09180900369486278,0.1380626512771328,0.15959236875697114,0.2582747922083879,0.09802617665743502,0.21059871835835192,0.12021214093125504,0.010364765753259966,0.0066891461024628646,0.012954025614023021,0.10805471380738672,0.7059962316909777,0.05349651965497162,0.34002962643402634,Grasslands,777
1,MT_Dillon_18_WSW,45.16,-113.01,0.3545957612890536,0.35031425431806895,0.3652824166986457,0.39094036603708765,0.3526747631431636,0.49477562169412564,0.06650435056578696,0.041336307250645854,0.08683285135424212,0.14609978889912822,0.1830648197781033,0.266141127146707,0.14111950970373205,0.2248048198960611,0.12004133824757862,0.017143222901710498,0.0072460439893496376,0.012356471038165118,0.10935405096990286,0.6962905410348323,0.06023864169668928,0.6598880383198571,0.3441618432935014,0.3671664778880103,0.39213454633814143,0.3554131743598765,0.4826360256383201,0.06752163468850625,0.04452181654130494,0.08410752283335843,0.13946944332183686,0.17642945491252382,0.26441935630869173,0.13407038065696358,0.21989753976738663,0.12494991298685476,0.016165341233339015,0.005828312440745553,0.01154321790624202,0.10593257174151038,0.6817245501479047,0.058984600629585875,2.9180768501190912,Grasslands,587
2,CA_Merced_23_WSW,37.24,-120.88,0.273475051955289,0.3357855232479769,0.3445988445806948,0.36287832777416357,0.3219434383630971,0.4374510265617642,0.08490438918826604,0.07620760623120004,0.09661285760504068,0.15794614284773378,0.13046516323393487,0.2099691344265231,0.07318106912046823,0.1337615281953229,0.05202299157878926,0.0011413954343973964,0.010507678724566705,0.002986284227994629,0.14331078446077516,0.8698196325069654,0.18891862597543002,1.7937536833869727,0.342496801010697,0.3441671992284689,0.3629404770938971,0.3204878474696572,0.43666288617220167,0.08445279241174697,0.07932267669060389,0.09307296481000427,0.16915659757807433,0.12912889078379297,0.21690611787057634,0.07213993941608987,0.13758344117997245,0.04774952029250196,0.0011360475249574398,0.007855339781324078,0.0030705555713657073,0.15709465470042716,0.8658960973623582,0.18023561708220875,1.5979238690751971,Croplands,1462
3,GA_Newton_11_SW,31.19,-84.45,0.348807673485453,0.3443466466682715,0.36723187709436556,0.3806247132956072,0.36804631357197093,0.50153204690585,0.07824660042459464,0.02694121697072749,0.08901644660045915,0.10638552255506006,0.182346079023176,0.26358642630935436,0.1569857449477674,0.23664520933862698,0.1572009037542943,0.01521106051635307,0.006109029974276259,0.009554568880370151,0.07551086318406058,0.7495534110653304,0.09005278085318241,2.798400312173562,0.3434068692938137,0.35111250087212686,0.38159005846168004,0.3764480248687648,0.46792881075623305,0.08104100952284765,0.03531333812722748,0.0799743434845196,0.11936515990429264,0.16394983052522905,0.2574484689122677,0.13885123169598124,0.2221351307850402,0.13808330900797516,0.015548282520204404,0.004684759275270622,0.009087106294801861,0.09004501181401564,0.7478356093510943,0.10708794298214637,3.2432222483588045,Mixed,785
4,WY_Lander_11_SSE,42.68,-108.67,0.3346556737648988,0.3493696146333093,0.35571276027238874,0.3821465537645209,0.34811395922983707,0.4864139513411953,0.08905930523290928,0.038385953842704046,0.11097029768893873,0.13903658559116694,0.18416343898487064,0.259585384920168,0.13583843169132548,0.2211994310774641,0.12054879932900125,0.019642743846061156,0.004627023851631523,0.00774119962609196,0.10702561826738252,0.7858205066582794,0.04088718086845154,0.5482334129631838,0.3559989460966636,0.35770432934946367,0.3804686070379051,0.3405033848317414,0.48413039257786983,0.08316276868474537,0.03782816605729,0.09942072349551845,0.14445231803432146,0.17432516119877528,0.2596054395944194,0.12851394241457137,0.22177727353712928,0.11515312156009794,0.023783936938872374,0.004668233941467981,0.0084768907334406,0.10752325642054061,0.7541121624188923,0.04814121927220368,0.322217457563744,Grasslands,807
5,TX_Panther_Junction_2_N,29.35,-103.21,0.3722863623226022,0.39690060809489947,0.39044574516762415,0.36910926942489025,0.41257897134489063,0.5689191854378207,0.05245091224959275,0.021371492211893273,0.07709793961322386,0.12055075609567178,0.170912591294891,0.26993096775983993,0.1551044168858891,0.24855947554794672,0.14938021166416804,0.0359301193743076,0.022447554608383026,0.028503641022009828,0.03366944109097111,0.5908244443281845,0.04360381085293465,0.3117290072428073,0.3997820300233565,0.3863480532851222,0.36972554935046487,0.41408465432466035,0.5569230472198562,0.054567204378238254,0.022875842993662965,0.0720486697132634,0.1166774965552112,0.16406400042012392,0.26308010201740273,0.14774586629047015,0.24020425902373976,0.14640260546219153,0.03141253114443621,0.01920450192478207,0.028011826856340294,0.038048636629652854,0.596939135461694,0.04281217807714685,0.32744076424609114,Shrublands,1511
6,WA_Spokane_17_SSW,47.42,-117.53,0.2783877677045186,0.33399488828302454,0.34311464918742707,0.36799748841434,0.33936927080772705,0.4579153930439252,0.1104610322148043,0.06355017384777972,0.11173788970340581,0.166428232579931,0.14949174424509004,0.2207786907612097,0.08499273346090797,0.15722851691342998,0.05435045818127865,0.010849677553525089,0.004444561078014636,0.0084861973025597,0.14264779664583147,0.9002315837995828,0.05767084218501673,2.6000705737172685,0.3346360294937927,0.34162469075253116,0.36776270486164714,0.3374564851546816,0.45374253165205697,0.10882864624569699,0.06597896221721633,0.11064181247654381,0.17110460714950992,0.14438961154742314,0.21756870950320406,0.07852175846059656,0.15158974728598767,0.04646410235369408,0.014276701148090098,0.0039822597336018895,0.007903516651083908,0.14494212961673403,0.897767994043823,0.056871691350575855,2.178178566747007,Croplands,1349
7,OR_Riley_10_WSW,43.47,-119.69,0.35256644535993176,0.3731942077459571,0.36868235895724205,0.3816246409085424,0.3698247396478841,0.515321733968986,0.0732663403436069,0.0429035018201086,0.09329585222322423,0.14182294658256556,0.172578348743737,0.25864311305325527,0.13148871821827324,0.21573961123314656,0.11682016647068949,0.02285577437203952,0.008165693017449696,0.013016318969938531,0.0977851602231377,0.7315010373133024,0.03559524045719046,0.30211619287729263,0.3790159599836365,0.37893896704797303,0.38155425706879603,0.3701679542020679,0.5256373213495346,0.06389005656627356,0.04441737106908539,0.09327041378192147,0.14333823152083203,0.17072364297608755,0.2592938298875168,0.13065262329092048,0.2148764588184316,0.1159555983666849,0.031127811657189156,0.009066821440733244,0.014366134843077236,0.08877746357983239,0.7027006601876662,0.03640705634533521,0.24405329033897372,Grasslands,923
8,MN_Goodridge_12_NNW,48.31,-95.87,0.3906665018139251,0.40448817701646694,0.40215235214625156,0.3589106214777877,0.4009557813679223,0.5970627620474112,0.10426506157084325,0.026286342964834897,0.15582482528164532,0.1887086630115673,0.25054006775611937,0.30079059473587033,0.21916750164924365,0.2745042517710356,0.11208193172430325,0.04164487775195118,0.01351188728225998,0.01470490597538994,0.11884699200196643,0.8324276220250457,0.12495932028959178,2.553555450101537,0.4014097468073979,0.39659445462573134,0.3579484651068891,0.39875665077474864,0.5895581598617607,0.0914819017070474,0.025399180300045954,0.14437139908687802,0.1846789440583465,0.23899227668344247,0.29095686125886555,0.205597248407619,0.26555768095881965,0.10627791720051905,0.036933050518205585,0.015502593552884941,0.01717502798843698,0.11506827199881911,0.7950194249816662,0.12519579288738536,2.17204730635951,Croplands,885
9,ID_Murphy_10_W,43.2,-116.75,0.36970967095544244,0.37213265509157223,0.3662231544333132,0.3756191575022583,0.37414118122045653,0.502737472728444,0.05282405692379888,0.041383776059377486,0.08454099483970057,0.13285429347086464,0.1687335548993535,0.2570924001956233,0.1279808605110349,0.21570862413624586,0.12423810672475866,0.018962694691755724,0.005339738714236,0.00963318488199981,0.09891867518287299,0.5758787784617034,0.049418381945548984,0.5984036737904888,0.38307817494046,0.373789991416124,0.3823822687108008,0.39812701849427784,0.5229219317133054,0.0491357482889766,0.04413630513083833,0.08429686961939786,0.13852776711265335,0.1693343943647463,0.26856927440110245,0.1266984115907474,0.22443296927026407,0.130041507288449,0.022882382666556872,0.010923888805752374,0.018274699655836696,0.08644679598450752,0.4826787822801966,0.04949865339778699,0.6520058105986818,Grasslands,1008
